Programme,Category,Male,Female,Others,Total
MSc in Computer Science,GENERAL,10,0,0,10
,OBC,1,0,0,1
,SC,1,0,0,1
MSc in Big Data Analytics,GENERAL,16,0,0,16
,OBC,2,0,0,2
,SC,1,0,0,1
Integrated 5 Year MA in Sanskrit(M),GENERAL,11,0,0,11
,OBC,1,0,0,1
,SC,2,0,0,2
MSc in Physics,GENERAL,17,4,0,21
,OBC,2,0,0,2
,SC,1,0,0,1
Integrated 5 Year MA in Sanskrit(W),GENERAL,0,4,0,4
,OBC,0,1,0,1
MA / MSc in Yoga,GENERAL,2,0,0,2
,OBC,2,0,0,2
,SC,2,0,0,2
MSc in Mathematics,GENERAL,9,2,0,11
,OBC,1,0,0,1
,SC,0,2,0,2
MSc in Sports Science,GENERAL,2,3,0,5
,OBC,0,1,0,1
Integrated MPhil-PhD in Sanskrit,GENERAL,2,0,0,2
,OBC,2,0,0,2
,SC,1,0,0,1
PG Diploma in Yoga,GENERAL,7,0,0,7
,OBC,1,0,0,1
,SC,3,0,0,3
Certificate Course in Yoga,GENERAL,8,0,0,8
Certificate Course in BAPN,GENERAL,5,0,0,5
,OBC,1,0,0,1
Certificate Course in Communicative Sanskrit - Preliminary,GENERAL,18,21,0,39
,OBC,2,4,0,6
,SC,3,2,0,5
,ST,1,1,0,2
Diploma in Agriculture & Rural Development,GENERAL,0,1,0,1
,OBC,5,2,0,7
,ST,2,1,0,3
"5 yr Intd. MSc in Agriculture, Rural & Tribal Development",GENERAL,7,6,0,13
,OBC,7,0,0,7
,SC,1,0,0,1
,ST,2,1,0,3
"MSc in Agriculture, Rural & Tribal Development",GENERAL,1,0,0,1
MA/MSc in Rural Development & Management,GENERAL,3,1,0,4
,OBC,5,2,0,7
,SC,3,2,0,5
,ST,3,2,0,5
B.Ed in Special Education (HI),OBC,0,1,0,1
BSc (Agriculture),OBC,56,0,0,56
,SC,3,0,0,3
"BSc in Physical Education, Health Education and Sports",OBC,34,0,0,34
,SC,11,0,0,11
,ST,1,0,0,1
Bachelor of Physical Education (BPED),GENERAL,1,0,0,1
,OBC,34,0,0,34
,SC,12,0,0,12
B.Ed in Special Education(ID),GENERAL,0,2,0,2
,OBC,1,9,0,10
Intd. MSc in Computer Science Applications,UNKNOWN,15,0,0,15
MSc in Data Science,GENERAL,6,0,0,6
,OBC,4,0,0,4
,SC,1,0,0,1
M.Ed Special Education (ID),OBC,1,0,0,1
Master of Physical Education(MPED),OBC,15,0,0,15
,SC,5,0,0,5
,ST,1,0,0,1
Intd B.Ed-M.Ed Special Education(ID),GENERAL,0,1,0,1
,OBC,1,6,0,7
M.Ed in Special Education(HI),GENERAL,1,0,0,1
,OBC,1,0,0,1
MSc in Agriculture and Rural Development,GENERAL,8,8,0,16
,OBC,2,4,0,6
,SC,5,2,0,7
MSc in Agricultural Biotechnology,GENERAL,6,9,0,15
,OBC,1,0,0,1
,SC,0,1,0,1
MSc in Environment and Disaster Management,GENERAL,0,11,0,11
,OBC,0,1,0,1
MSc (Ag.) in Genetics & Plant Breeding,GENERAL,2,3,0,5
,OBC,2,0,0,2
,SC,1,0,0,1
PhD in Agriculture and Rural Development,GENERAL,0,1,0,1
PG Diploma in Post Harvest & Food Technology,GENERAL,5,2,0,7
,OBC,2,1,0,3
,SC,0,1,0,1
